# Reference      Predicted      Error          #atoms         
-714.92223      -714.84790      0.07432         20.00000       
-714.90286      -714.81496      0.08790         20.00000       
-714.83526      -714.75046      0.08481         20.00000       
-714.73526      -714.69806      0.03720         20.00000       
-714.60552      -714.63996      0.03444         20.00000       
-714.43423      -714.58518      0.15095         20.00000       
-714.91477      -714.82806      0.08671         20.00000       
-714.87838      -714.80056      0.07782         20.00000       
-714.82269      -714.76179      0.06090         20.00000       
-714.74330      -714.71244      0.03086         20.00000       
-714.63854      -714.66384      0.02529         20.00000       
-714.90866      -714.85342      0.05523         20.00000       
-714.85769      -714.83738      0.02031         20.00000       
-714.77165      -714.80593      0.03428         20.00000       
-714.65461      -714.75954      0.10494         20.00000       
-714.50479      -714.69875      0.19395         20.00000       
-714.91024      -714.84305      0.06719         20.00000       
-714.87502      -714.82054      0.05448         20.00000       
-714.82290      -714.77733      0.04557         20.00000       
-714.76773      -714.72075      0.04698         20.00000       
-714.69361      -714.69161      0.00199         20.00000       
-714.92084      -714.83801      0.08283         20.00000       
-714.91129      -714.82991      0.08137         20.00000       
-714.88981      -714.81447      0.07535         20.00000       
-714.86396      -714.79808      0.06588         20.00000       
-714.83135      -714.78161      0.04973         20.00000       
-714.91711      -714.83181      0.08529         20.00000       
-714.89618      -714.81434      0.08184         20.00000       
-714.86297      -714.77998      0.08299         20.00000       
-714.82292      -714.74146      0.08146         20.00000       
-714.76716      -714.70618      0.06099         20.00000       
-714.91854      -714.84982      0.06872         20.00000       
-714.91484      -714.85077      0.06408         20.00000       
-714.90553      -714.84643      0.05910         20.00000       
-714.88759      -714.83950      0.04809         20.00000       
-714.86786      -714.82960      0.03825         20.00000       
-2174.79105     -2174.79693     0.00588         66.00000       
-61.16917       -61.16123       0.00793         2.00000        
-1184.75162     -1184.74441     0.00720         32.00000       
-469.10830      -469.13999      0.03169         12.00000       
-357.40268      -357.37400      0.02868         10.00000       
-357.41409      -357.38173      0.03236         10.00000       
-714.83884      -714.77292      0.06592         20.00000       
-357.43115      -357.35057      0.08058         10.00000       
-714.79096      -714.74872      0.04224         20.00000       
-714.76809      -714.76158      0.00651         20.00000       
-357.41778      -357.38176      0.03602         10.00000       
-714.77269      -714.75821      0.01448         20.00000       
-357.40281      -357.37508      0.02773         10.00000       
-714.92092      -714.85019      0.07073         20.00000       
-1429.54613     -1429.56921     0.02308         40.00000       
-357.41549      -357.34530      0.07019         10.00000       
-178.62149      -178.63835      0.01687         5.00000        
-357.40227      -357.37389      0.02838         10.00000       
-1428.89642     -1429.01339     0.11698         40.00000       
-1429.43507     -1429.38775     0.04732         40.00000       
-1429.23246     -1429.26909     0.03663         40.00000       
-1429.06759     -1429.15150     0.08391         40.00000       
-1428.03539     -1428.09439     0.05900         40.00000       
-1428.88691     -1428.88156     0.00535         40.00000       
-1429.30287     -1429.25899     0.04388         40.00000       
-1428.93858     -1429.04485     0.10627         40.00000       
-1429.38089     -1429.37079     0.01010         40.00000       
-1429.41529     -1429.38775     0.02753         40.00000       
-1429.22505     -1429.26909     0.04405         40.00000       
-1429.06425     -1429.15150     0.08726         40.00000       
-1427.98473     -1428.09439     0.10966         40.00000       
-1428.84805     -1428.88156     0.03351         40.00000       
-1429.27436     -1429.25899     0.01536         40.00000       
-1428.93771     -1429.04485     0.10714         40.00000       
-1429.36814     -1429.37079     0.00265         40.00000       
-1424.68409     -1424.64945     0.03464         40.00000       
-1429.31245     -1429.37459     0.06213         40.00000       
-1429.33728     -1429.41521     0.07793         40.00000       
-1376.58134     -1376.67787     0.09654         40.00000       
-1402.37454     -1402.37130     0.00324         40.00000       
-1417.01555     -1416.99380     0.02176         40.00000       
-1429.04102     -1429.12398     0.08296         40.00000       
-1428.16936     -1428.06682     0.10254         40.00000       
# MSE = 4.39453E-03
# Maxerror = 1.93955E-01
