# Reference      Predicted      Error          
0.00668         0.00134         0.00533        
-0.00668        -0.00135        0.00533        
0.00668         0.00134         0.00533        
-0.00668        -0.00135        0.00533        
0.00000         -0.00001        0.00001        
0.00000         -0.00001        0.00001        
0.00000         -0.00001        0.00001        
0.00000         -0.00001        0.00001        
0.00543         -0.01172        0.01716        
-0.00543        0.01172         0.01715        
0.00543         -0.01172        0.01716        
-0.00543        0.01172         0.01715        
0.00707         -0.00608        0.01315        
-0.00707        0.00609         0.01316        
0.00707         -0.00608        0.01315        
-0.00707        0.00609         0.01316        
0.00707         -0.00608        0.01315        
-0.00707        0.00609         0.01316        
-0.00707        0.00609         0.01316        
0.00707         -0.00608        0.01315        
-0.00701        0.00477         0.01178        
0.00701         -0.00476        0.01177        
-0.00701        0.00477         0.01178        
0.00701         -0.00476        0.01178        
0.00000         -0.00000        0.00000        
0.00000         -0.00000        0.00000        
0.00000         -0.00000        0.00000        
0.00000         -0.00000        0.00000        
0.00275         -0.00478        0.00753        
-0.00275        0.00478         0.00753        
0.00275         -0.00478        0.00753        
-0.00275        0.00478         0.00753        
0.00075         -0.01710        0.01786        
-0.00075        0.01710         0.01786        
0.00075         -0.01710        0.01785        
-0.00075        0.01711         0.01786        
0.00075         -0.01710        0.01786        
-0.00075        0.01710         0.01786        
-0.00075        0.01711         0.01786        
0.00075         -0.01710        0.01786        
0.00625         0.00306         0.00319        
-0.00625        -0.00307        0.00318        
0.00625         0.00307         0.00319        
-0.00625        -0.00307        0.00319        
0.00000         -0.00000        0.00000        
0.00000         -0.00000        0.00000        
0.00000         0.00000         0.00000        
0.00000         -0.00000        0.00000        
0.00140         0.00422         0.00283        
-0.00140        -0.00422        0.00282        
0.00140         0.00422         0.00283        
-0.00140        -0.00422        0.00282        
0.00270         -0.02705        0.02975        
-0.00270        0.02705         0.02975        
0.00270         -0.02704        0.02975        
-0.00270        0.02705         0.02975        
0.00270         -0.02704        0.02975        
-0.00270        0.02705         0.02975        
-0.00270        0.02705         0.02975        
0.00270         -0.02705        0.02975        
0.00226         0.01918         0.01692        
-0.00226        -0.01918        0.01692        
0.00226         0.01917         0.01691        
-0.00226        -0.01916        0.01690        
0.00000         -0.00000        0.00000        
0.00000         0.00000         0.00000        
