#Reference      Predicted      Error      No_of_atoms structure_no
-714.92222613 -714.8479044838012 0.07432164619876858 20 0
-714.9028564 -714.8149593099172 0.08789709008283353 20 1
-714.83526367 -714.7504565595108 0.08480711048923695 20 2
-714.73526003 -714.6980616561273 0.03719837387268399 20 3
-714.60552067 -714.6399568938033 0.034436223803254506 20 4
-714.43422509 -714.5851765688599 0.15095147885983806 20 5
-714.91477293 -714.82805897193 0.08671395807004956 20 6
-714.87838389 -714.800559397079 0.07782449292096771 20 7
-714.82269305 -714.7617920558562 0.06090099414382166 20 8
-714.7433029 -714.7124428917583 0.030860008241688774 20 9
-714.63854394 -714.6638370958445 0.025293155844565263 20 10
-714.90865718 -714.8534227769089 0.05523440309104899 20 11
-714.85768978 -714.8373790536474 0.02031072635259079 20 12
-714.77164923 -714.8058632357413 0.03421400574131894 20 13
-714.65460545 -714.7595430042282 0.10493755422828599 20 14
-714.50479291 -714.6987477887955 0.19395487879546636 20 15
-714.91024137 -714.8430548936141 0.06718647638592756 20 16
-714.87501506 -714.820536340018 0.054478719982057555 20 17
-714.8228954 -714.7773298402445 0.04556555975545962 20 18
-714.7677293 -714.7207538515984 0.04697544840166756 20 19
-714.6936076 -714.6916141456128 0.001993454387161364 20 20
-714.92084132 -714.8380101592228 0.08283116077723207 20 21
-714.91128539 -714.829912810374 0.08137257962596323 20 22
-714.88981428 -714.8144678445719 0.07534643542805952 20 23
-714.86395658 -714.7980795011935 0.06587707880657945 20 24
-714.83134849 -714.7816147650948 0.04973372490519523 20 25
-714.91710673 -714.8318140113857 0.08529271861425514 20 26
-714.89617745 -714.8143350954701 0.08184235452984012 20 27
-714.86296539 -714.7799797784542 0.08298561154583695 20 28
-714.82292135 -714.741457194457 0.08146415554301711 20 29
-714.76716429 -714.7061782401366 0.060986049863345215 20 30
-714.91854132 -714.8498216707636 0.06871964923641372 20 31
-714.9148437 -714.8507659973445 0.06407770265548152 20 32
-714.90553278 -714.8464313802726 0.05910139972741035 20 33
-714.88758989 -714.8395001451631 0.048089744836829595 20 34
-714.86785929 -714.8296045651639 0.03825472483606518 20 35
-2174.79105242 -2174.7969335591683 0.005881139168195659 66 36
-61.16916564 -61.161232325700894 0.007933314299108929 2 37
-1184.75161533 -1184.744410513005 0.007204816994999419 32 38
-469.10830383 -469.1399904447116 0.031686614711588845 12 39
-357.40268018 -357.3739973080431 0.028682871956903 10 40
-357.41408846 -357.38172880306075 0.03235965693926346 10 41
-714.83884094 -714.77292277572 0.0659181642799922 20 42
-357.43115263 -357.35057077288263 0.08058185711735177 10 43
-714.79096308 -714.7487213986362 0.042241681363748285 20 44
-714.76809394 -714.7615793942471 0.006514545752906997 20 45
-357.41778482 -357.3817640986988 0.03602072130121314 10 46
-714.77269345 -714.7582104829202 0.01448296707985719 20 47
-357.40280987 -357.3750814153781 0.027728454621922083 10 48
-714.92092404 -714.8501934864437 0.07073055355635915 20 49
-1429.54612686 -1429.5692088935925 0.02308203359257277 40 50
-357.41549219 -357.34529357194367 0.07019861805633809 10 51
-178.62148801 -178.6383532155375 0.01686520553749915 5 52
-357.40226722 -357.3738850946556 0.028382125344421638 10 53
-1428.89641793 -1429.0133940130493 0.11697608304916685 40 54
-1429.43507235 -1429.387753000226 0.04731934977394303 40 55
-1429.23246446 -1429.269094720657 0.036630260656920655 40 56
-1429.06759234 -1429.1515033861392 0.08391104613929201 40 57
-1428.03538918 -1428.0943917710888 0.05900259108875616 40 58
-1428.88691219 -1428.8815615979645 0.005350592035483714 40 59
-1429.30286676 -1429.25899151996 0.04387524003982435 40 60
-1428.93858211 -1429.044851625194 0.10626951519407157 40 61
-1429.38089373 -1429.3707921983203 0.010101531679765685 40 62
-1429.41528764 -1429.3877530020766 0.027534637923508853 40 63
-1429.22504736 -1429.2690947219253 0.04404736192532255 40 64
-1429.06424783 -1429.151503386849 0.0872555568489588 40 65
-1427.98473159 -1428.0943917729596 0.1096601829597148 40 66
-1428.84805278 -1428.8815615998353 0.03350881983533327 40 67
-1429.27435631 -1429.258991521831 0.015364788169108579 40 68
-1428.93770891 -1429.044851625399 0.10714271539882247 40 69
-1429.36813894 -1429.3707921999878 0.002653259987710044 40 70
-1424.68409301 -1424.6494499008743 0.034643109125681804 40 71
-1429.31245366 -1429.374586153536 0.06213249353595529 40 72
-1429.33727891 -1429.4152108653566 0.07793195535668929 40 73
-1376.5813382 -1376.6778741114745 0.09653591147457519 40 74
-1402.37453789 -1402.3712955325614 0.0032423574386939435 40 75
-1417.01555298 -1416.9937969642049 0.021756015795062922 40 76
-1429.04101981 -1429.1239778668912 0.08295805689112967 40 77
-1428.16935865 -1428.0668165754391 0.10254207456091535 40 78
