# Reference      Predicted      Error          #atoms         
436.92537       436.95554       0.03018         20.00000       
437.55604       437.59283       0.03679         20.00000       
438.15712       438.17401       0.01689         20.00000       
438.69977       438.69123       0.00854         20.00000       
439.23848       439.21110       0.02738         20.00000       
439.74022       439.67550       0.06473         20.00000       
436.68560       436.69208       0.00647         20.00000       
436.35758       436.32320       0.03438         20.00000       
435.97376       435.90418       0.06958         20.00000       
435.60003       435.49013       0.10990         20.00000       
435.16772       435.02117       0.14656         20.00000       
436.55415       436.59139       0.03724         20.00000       
436.12384       436.15404       0.03021         20.00000       
435.67776       435.69117       0.01342         20.00000       
435.20985       435.20899       0.00085         20.00000       
434.75652       434.73000       0.02651         20.00000       
436.61349       436.61797       0.00449         20.00000       
436.43989       436.41986       0.02003         20.00000       
436.31281       436.28311       0.02970         20.00000       
436.14396       436.07498       0.06898         20.00000       
435.80516       435.70611       0.09905         20.00000       
436.76203       436.78179       0.01976         20.00000       
436.65386       436.66784       0.01398         20.00000       
436.55879       436.55196       0.00683         20.00000       
436.42856       436.40283       0.02573         20.00000       
436.24588       436.20331       0.04257         20.00000       
436.76968       436.77916       0.00949         20.00000       
436.59019       436.57711       0.01308         20.00000       
436.41661       436.37249       0.04412         20.00000       
436.26509       436.20645       0.05864         20.00000       
436.06431       435.99213       0.07219         20.00000       
436.87398       436.90044       0.02647         20.00000       
436.86045       436.88768       0.02724         20.00000       
436.81743       436.83535       0.01792         20.00000       
436.78803       436.79273       0.00470         20.00000       
436.70997       436.69589       0.01408         20.00000       
1119.44402      1119.45001      0.00599         66.00000       
25.87641        25.87658        0.00018         2.00000        
766.84201       766.83311       0.00890         32.00000       
332.60145       332.63736       0.03591         12.00000       
218.55526       218.52739       0.02787         10.00000       
218.53440       218.54220       0.00780         10.00000       
437.08504       437.08598       0.00093         20.00000       
218.50464       218.49003       0.01461         10.00000       
437.15449       437.15607       0.00158         20.00000       
437.18379       437.14664       0.03716         20.00000       
218.52017       218.52663       0.00645         10.00000       
437.18973       437.16206       0.02766         20.00000       
218.52066       218.49428       0.02638         10.00000       
436.96063       436.99372       0.03309         20.00000       
874.24517       874.19271       0.05246         40.00000       
218.51963       218.49895       0.02068         10.00000       
109.32516       109.30740       0.01776         5.00000        
218.51415       218.48289       0.03126         10.00000       
876.04806       876.10328       0.05522         40.00000       
874.37625       874.41010       0.03385         40.00000       
875.36111       875.42950       0.06839         40.00000       
875.72922       875.80579       0.07657         40.00000       
873.09466       873.02646       0.06820         40.00000       
873.40268       873.39241       0.01027         40.00000       
873.86113       873.87094       0.00981         40.00000       
875.97024       876.03038       0.06013         40.00000       
874.89454       874.95689       0.06235         40.00000       
874.39117       874.40176       0.01060         40.00000       
875.36630       875.42526       0.05896         40.00000       
875.73150       875.80372       0.07222         40.00000       
873.13767       873.01813       0.11954         40.00000       
873.43447       873.38408       0.05039         40.00000       
873.88352       873.86260       0.02092         40.00000       
875.97084       876.02983       0.05899         40.00000       
874.90378       874.95040       0.04663         40.00000       
876.38329       876.37093       0.01235         40.00000       
874.54831       874.50113       0.04718         40.00000       
875.12939       875.09601       0.03338         40.00000       
908.18880       908.32825       0.13945         40.00000       
890.17289       890.16847       0.00442         40.00000       
880.83415       880.78169       0.05246         40.00000       
875.78205       875.83083       0.04878         40.00000       
874.69018       874.73385       0.04368         40.00000       
# MSE = 2.30270E-03
# Maxerror = 1.46557E-01
