# Reference      Predicted      Error          
-0.04292        -0.06008        0.01716        
0.04292         0.06008         0.01715        
-0.04293        -0.06009        0.01716        
0.04292         0.06008         0.01716        
-0.00005        -0.00003        0.00002        
-0.00005        -0.00003        0.00002        
-0.00005        -0.00003        0.00002        
-0.00005        -0.00003        0.00002        
-0.17430        -0.23415        0.05985        
0.17431         0.23416         0.05985        
-0.17430        -0.23415        0.05985        
0.17430         0.23415         0.05985        
0.21564         0.19979         0.01584        
-0.21559        -0.19975        0.01584        
0.21566         0.19979         0.01587        
-0.21560        -0.19977        0.01583        
0.21563         0.19979         0.01584        
-0.21559        -0.19975        0.01584        
-0.21560        -0.19977        0.01583        
0.21566         0.19979         0.01587        
-0.04858        -0.04582        0.00276        
0.04859         0.04583         0.00276        
-0.04858        -0.04581        0.00276        
0.04858         0.04582         0.00276        
-0.00002        -0.00001        0.00001        
-0.00002        -0.00001        0.00001        
-0.00002        -0.00001        0.00001        
-0.00002        -0.00001        0.00001        
-0.21269        -0.27815        0.06546        
0.21269         0.27815         0.06546        
-0.21269        -0.27815        0.06546        
0.21269         0.27815         0.06546        
0.21559         0.21130         0.00428        
-0.21556        -0.21130        0.00426        
0.21558         0.21131         0.00427        
-0.21556        -0.21129        0.00426        
0.21559         0.21131         0.00428        
-0.21556        -0.21130        0.00426        
-0.21556        -0.21129        0.00426        
0.21557         0.21130         0.00427        
-0.02998        -0.04519        0.01520        
0.02999         0.04518         0.01520        
-0.02999        -0.04519        0.01520        
0.02999         0.04518         0.01520        
-0.00001        -0.00001        0.00001        
-0.00001        -0.00000        0.00000        
-0.00001        -0.00000        0.00001        
-0.00001        -0.00001        0.00001        
-0.25103        -0.33017        0.07914        
0.25102         0.33017         0.07914        
-0.25103        -0.33017        0.07914        
0.25103         0.33017         0.07914        
0.23315         0.22269         0.01046        
-0.23314        -0.22268        0.01046        
0.23313         0.22268         0.01045        
-0.23312        -0.22267        0.01045        
0.23315         0.22270         0.01046        
-0.23314        -0.22268        0.01046        
-0.23312        -0.22267        0.01045        
0.23313         0.22267         0.01046        
-0.02658        -0.03110        0.00452        
0.02658         0.03110         0.00452        
-0.02659        -0.03112        0.00453        
0.02660         0.03113         0.00453        
-0.00001        -0.00001        0.00000        
0.00000         0.00000         0.00000        
0.00000         0.00000         0.00000        
-0.00001        -0.00001        0.00000        
-0.27056        -0.35660        0.08604        
0.27057         0.35660         0.08604        
-0.27056        -0.35660        0.08603        
0.27056         0.35660         0.08603        
0.25670         0.23308         0.02362        
-0.25671        -0.23306        0.02365        
0.25667         0.23303         0.02364        
-0.25666        -0.23304        0.02362        
0.25670         0.23308         0.02362        
-0.25671        -0.23306        0.02365        
-0.25666        -0.23304        0.02362        
0.25667         0.23303         0.02364        
-0.03218        -0.02309        0.00909        
0.03218         0.02306         0.00912        
-0.03218        -0.02306        0.00911        
0.03218         0.02307         0.00911        
0.00001         0.00000         0.00001        
0.00001         0.00002         0.00002        
0.00001         0.00002         0.00002        
0.00001         0.00000         0.00001        
-0.28698        -0.38157        0.09459        
0.28699         0.38157         0.09458        
-0.28699        -0.38157        0.09458        
0.28700         0.38159         0.09459        
0.25456         0.23963         0.01492        
-0.25459        -0.23961        0.01498        
0.25455         0.23957         0.01498        
-0.25454        -0.23961        0.01493        
0.25455         0.23963         0.01492        
-0.25459        -0.23961        0.01498        
-0.25454        -0.23962        0.01492        
0.25456         0.23957         0.01498        
-0.01453        -0.00673        0.00780        
0.01454         0.00674         0.00779        
-0.01453        -0.00674        0.00780        
0.01454         0.00677         0.00777        
0.00000         0.00001         0.00001        
0.00001         -0.00000        0.00001        
0.00001         -0.00000        0.00001        
-0.00000        0.00001         0.00001        
-0.29049        -0.39192        0.10143        
0.29049         0.39190         0.10142        
-0.29049        -0.39191        0.10142        
0.29049         0.39190         0.10142        
0.27875         0.26458         0.01418        
-0.27877        -0.26460        0.01417        
0.27876         0.26459         0.01417        
-0.27876        -0.26459        0.01417        
0.27875         0.26458         0.01417        
-0.27876        -0.26459        0.01417        
-0.27876        -0.26459        0.01417        
0.27876         0.26458         0.01417        
-0.05227        -0.06630        0.01403        
0.05227         0.06629         0.01402        
-0.05227        -0.06630        0.01403        
0.05227         0.06629         0.01402        
0.00003         0.00001         0.00001        
0.00002         0.00001         0.00001        
0.00002         0.00001         0.00001        
0.00003         0.00001         0.00001        
-0.18700        -0.24574        0.05874        
0.18700         0.24574         0.05874        
-0.18700        -0.24574        0.05874        
0.18700         0.24574         0.05875        
0.23217         0.22500         0.00717        
-0.23220        -0.22499        0.00721        
0.23220         0.22500         0.00720        
-0.23222        -0.22502        0.00720        
0.23218         0.22500         0.00717        
-0.23220        -0.22500        0.00721        
-0.23221        -0.22502        0.00720        
0.23220         0.22500         0.00720        
-0.05304        -0.07332        0.02028        
0.05304         0.07333         0.02028        
-0.05304        -0.07333        0.02028        
0.05304         0.07332         0.02028        
0.00003         0.00002         0.00001        
0.00003         0.00001         0.00002        
0.00003         0.00001         0.00002        
0.00003         0.00001         0.00001        
-0.17819        -0.23681        0.05862        
0.17819         0.23681         0.05862        
-0.17819        -0.23681        0.05862        
0.17819         0.23681         0.05862        
0.24515         0.24166         0.00349        
-0.24518        -0.24167        0.00352        
0.24516         0.24166         0.00350        
-0.24519        -0.24168        0.00351        
0.24515         0.24166         0.00349        
-0.24518        -0.24167        0.00351        
-0.24519        -0.24168        0.00351        
0.24516         0.24166         0.00350        
-0.05671        -0.08727        0.03056        
0.05672         0.08728         0.03057        
-0.05670        -0.08725        0.03055        
0.05671         0.08728         0.03057        
-0.00002        -0.00001        0.00001        
-0.00002        -0.00001        0.00001        
-0.00002        -0.00001        0.00001        
-0.00002        -0.00001        0.00001        
-0.16010        -0.21772        0.05762        
0.16010         0.21771         0.05761        
-0.16010        -0.21772        0.05762        
0.16010         0.21772         0.05762        
0.25947         0.25329         0.00619        
-0.25946        -0.25328        0.00618        
0.25947         0.25329         0.00619        
-0.25945        -0.25329        0.00617        
0.25947         0.25329         0.00619        
-0.25946        -0.25329        0.00617        
-0.25945        -0.25328        0.00617        
0.25947         0.25329         0.00619        
-0.06769        -0.08857        0.02088        
0.06769         0.08857         0.02088        
-0.06769        -0.08857        0.02088        
0.06769         0.08857         0.02088        
0.00000         0.00000         0.00000        
0.00000         -0.00000        0.00000        
0.00000         -0.00000        0.00000        
0.00000         0.00000         0.00000        
-0.16852        -0.20430        0.03578        
0.16852         0.20430         0.03578        
-0.16852        -0.20430        0.03578        
0.16852         0.20430         0.03579        
0.28148         0.26573         0.01574        
-0.28148        -0.26573        0.01575        
0.28149         0.26573         0.01575        
-0.28149        -0.26574        0.01575        
0.28148         0.26573         0.01574        
-0.28148        -0.26573        0.01575        
-0.28149        -0.26574        0.01575        
0.28149         0.26573         0.01575        
-0.07723        -0.09703        0.01980        
0.07723         0.09703         0.01980        
-0.07723        -0.09703        0.01980        
0.07723         0.09703         0.01980        
-0.00004        -0.00002        0.00002        
-0.00004        -0.00002        0.00002        
-0.00004        -0.00002        0.00002        
-0.00004        -0.00002        0.00002        
-0.14598        -0.18035        0.03437        
0.14598         0.18035         0.03437        
-0.14598        -0.18035        0.03437        
0.14598         0.18035         0.03437        
0.29584         0.27027         0.02557        
-0.29580        -0.27025        0.02555        
0.29584         0.27027         0.02557        
-0.29580        -0.27024        0.02555        
0.29584         0.27027         0.02557        
-0.29580        -0.27025        0.02555        
-0.29580        -0.27025        0.02555        
0.29584         0.27027         0.02557        
-0.06715        -0.07611        0.00897        
0.06715         0.07612         0.00897        
-0.06715        -0.07611        0.00897        
0.06714         0.07611         0.00897        
0.00000         0.00000         0.00000        
0.00001         0.00000         0.00000        
0.00000         -0.00000        0.00000        
0.00000         0.00000         0.00000        
-0.09728        -0.14685        0.04957        
0.09728         0.14685         0.04957        
-0.09728        -0.14685        0.04957        
0.09728         0.14685         0.04958        
0.19024         0.18232         0.00793        
-0.19025        -0.18232        0.00793        
0.19025         0.18232         0.00793        
-0.19025        -0.18233        0.00793        
0.19025         0.18232         0.00793        
-0.19025        -0.18232        0.00793        
-0.19025        -0.18232        0.00793        
0.19025         0.18232         0.00793        
-0.07562        -0.09956        0.02394        
0.07562         0.09957         0.02394        
-0.07562        -0.09957        0.02395        
0.07562         0.09956         0.02394        
0.00000         0.00000         0.00000        
0.00000         -0.00000        0.00000        
0.00001         0.00000         0.00001        
0.00000         0.00000         0.00000        
-0.02381        -0.06822        0.04441        
0.02381         0.06823         0.04441        
-0.02381        -0.06822        0.04441        
0.02381         0.06822         0.04441        
0.18186         0.17021         0.01165        
-0.18187        -0.17021        0.01166        
0.18187         0.17021         0.01166        
-0.18187        -0.17021        0.01165        
0.18186         0.17021         0.01165        
-0.18187        -0.17021        0.01166        
-0.18187        -0.17021        0.01166        
0.18187         0.17021         0.01166        
-0.09194        -0.11730        0.02535        
0.09194         0.11730         0.02535        
-0.09194        -0.11730        0.02535        
0.09194         0.11730         0.02535        
0.00000         0.00000         0.00000        
0.00000         -0.00000        0.00000        
0.00000         0.00000         0.00000        
0.00000         0.00000         0.00000        
0.02424         -0.01033        0.03457        
-0.02424        0.01034         0.03457        
0.02424         -0.01033        0.03457        
-0.02424        0.01033         0.03457        
0.16203         0.15706         0.00497        
-0.16203        -0.15706        0.00497        
0.16203         0.15706         0.00497        
-0.16203        -0.15706        0.00497        
0.16203         0.15706         0.00497        
-0.16203        -0.15706        0.00497        
-0.16203        -0.15706        0.00497        
0.16203         0.15706         0.00497        
-0.10229        -0.12918        0.02689        
0.10228         0.12918         0.02689        
-0.10229        -0.12918        0.02690        
0.10228         0.12918         0.02689        
-0.00002        -0.00001        0.00001        
-0.00001        -0.00001        0.00001        
-0.00001        -0.00000        0.00001        
-0.00002        -0.00001        0.00001        
0.07393         0.05466         0.01927        
-0.07393        -0.05466        0.01927        
0.07393         0.05466         0.01927        
-0.07393        -0.05467        0.01927        
0.15903         0.14786         0.01118        
-0.15901        -0.14785        0.01115        
0.15901         0.14785         0.01115        
-0.15900        -0.14784        0.01116        
0.15903         0.14786         0.01118        
-0.15901        -0.14786        0.01115        
-0.15900        -0.14784        0.01116        
0.15901         0.14786         0.01115        
-0.11314        -0.14834        0.03521        
0.11314         0.14834         0.03521        
-0.11314        -0.14834        0.03521        
0.11313         0.14834         0.03521        
0.00001         0.00000         0.00000        
0.00001         0.00000         0.00000        
-0.00000        -0.00001        0.00001        
-0.00000        -0.00000        0.00000        
0.11891         0.10214         0.01677        
-0.11891        -0.10214        0.01678        
0.11891         0.10214         0.01677        
-0.11892        -0.10214        0.01678        
0.15046         0.13116         0.01930        
-0.15046        -0.13116        0.01930        
0.15046         0.13116         0.01930        
-0.15046        -0.13117        0.01930        
0.15046         0.13116         0.01930        
