# Reference      Predicted      Error          
436.92537       436.91586       0.00951        
437.55604       437.54966       0.00638        
438.15712       438.14873       0.00839        
438.69977       438.68980       0.00996        
439.23848       439.23496       0.00352        
439.74022       439.74081       0.00059        
436.68560       436.68414       0.00147        
436.35758       436.35209       0.00549        
435.97376       435.96201       0.01176        
435.60003       435.58663       0.01340        
435.16772       435.16177       0.00595        
436.55415       436.55155       0.00260        
436.12384       436.12615       0.00232        
435.67776       435.68236       0.00461        
435.20985       435.22006       0.01021        
434.75652       434.78251       0.02600        
436.61349       436.61577       0.00228        
436.43989       436.45772       0.01783        
436.31281       436.34448       0.03167        
436.14396       436.16469       0.02073        
435.80516       435.82771       0.02255        
436.76203       436.75897       0.00307        
436.65386       436.64756       0.00631        
436.55879       436.54560       0.01319        
436.42856       436.41413       0.01444        
436.24588       436.23704       0.00884        
436.76968       436.76890       0.00078        
436.59019       436.58640       0.00379        
436.41661       436.41667       0.00006        
436.26509       436.27463       0.00953        
436.06431       436.07810       0.01378        
436.87398       436.86359       0.01038        
436.86045       436.85200       0.00845        
436.81743       436.81306       0.00437        
436.78803       436.78804       0.00001        
436.70997       436.72228       0.01230        
218.55526       218.54685       0.00841        
218.53440       218.52954       0.00486        
437.08504       437.10377       0.01873        
218.50464       218.50252       0.00211        
437.15449       437.19175       0.03726        
437.18379       437.21445       0.03066        
218.52017       218.51837       0.00180        
437.18973       437.22069       0.03096        
218.52066       218.51288       0.00778        
436.96063       436.95407       0.00656        
874.24517       874.25639       0.01122        
218.51963       218.51781       0.00182        
109.32516       109.35013       0.02497        
218.51415       218.50648       0.00766        
876.04806       876.06667       0.01861        
873.40268       873.40036       0.00232        
875.97024       875.97104       0.00080        
873.86113       873.83819       0.02294        
873.09466       873.15357       0.05891        
875.36111       875.33905       0.02206        
874.89454       874.88629       0.00825        
874.37625       874.36856       0.00769        
875.72922       875.71052       0.01870        
873.43447       873.38360       0.05087        
875.97084       875.98239       0.01155        
873.88352       873.85410       0.02942        
873.13767       873.11408       0.02359        
875.36630       875.38586       0.01956        
874.90378       874.94439       0.04061        
874.39117       874.41780       0.02663        
875.73150       875.74161       0.01011        
890.17289       890.17245       0.00044        
875.78205       875.75212       0.02993        
880.83415       880.83704       0.00288        
908.18880       908.18881       0.00001        
874.54831       874.54446       0.00385        
874.69018       874.71130       0.02113        
876.38329       876.37720       0.00609        
875.12939       875.07227       0.05712        
6925.55132      6925.53324      0.01808        
6925.60465      6925.59731      0.00734        
6925.70734      6925.70568      0.00167        
6925.66053      6925.66679      0.00626        
6925.64008      6925.65820      0.01812        
6925.66143      6925.66480      0.00338        
6925.69779      6925.69573      0.00207        
6925.66390      6925.66762      0.00372        
6925.98130      6925.98029      0.00101        
6925.94640      6925.92962      0.01678        
6925.87533      6925.87351      0.00182        
6926.06254      6926.09006      0.02752        
6926.08139      6926.09927      0.01788        
6925.55316      6925.47402      0.07914        
6926.23144      6926.25204      0.02060        
6925.42046      6925.44601      0.02555        
6925.97995      6925.87693      0.10302        
6925.20247      6925.22711      0.02464        
7026.35723      7026.35067      0.00656        
7026.25067      7026.25387      0.00320        
7026.32623      7026.32631      0.00008        
7026.28031      7026.27442      0.00589        
7027.87068      7027.89412      0.02345        
7027.24196      7027.24803      0.00607        
7027.81397      7027.84183      0.02786        
6935.42986      6935.40806      0.02179        
6935.43028      6935.40600      0.02429        
6935.45689      6935.45902      0.00213        
6935.52256      6935.51739      0.00517        
6935.41167      6935.41891      0.00724        
6935.50214      6935.50131      0.00083        
6935.46977      6935.47145      0.00167        
6935.54334      6935.54369      0.00035        
6935.35989      6935.35697      0.00292        
6935.31669      6935.30382      0.01287        
6935.51173      6935.50265      0.00907        
6935.57541      6935.61471      0.03930        
6935.67756      6935.68629      0.00873        
6934.39798      6934.35093      0.04706        
6935.56097      6935.59392      0.03295        
6934.87198      6934.86586      0.00611        
6935.42033      6935.42858      0.00826        
6934.38704      6934.47082      0.08377        
7036.27012      7036.25810      0.01201        
7036.10773      7036.09832      0.00941        
7036.14918      7036.14029      0.00888        
7036.17833      7036.16324      0.01508        
7037.65572      7037.66204      0.00631        
7037.03693      7037.05806      0.02113        
7038.08304      7038.09972      0.01668        
6944.93174      6944.91188      0.01986        
6944.85870      6944.80922      0.04948        
6945.00058      6945.01343      0.01284        
6944.97535      6944.98821      0.01286        
6944.89959      6944.92866      0.02907        
6945.01641      6945.02839      0.01198        
6944.97526      6944.98781      0.01255        
6944.98118      6944.99154      0.01035        
6944.90399      6944.89055      0.01344        
6944.65960      6944.62321      0.03639        
6945.03011      6945.01109      0.01903        
6944.50014      6944.52153      0.02138        
6944.86750      6944.85795      0.00956        
6943.65562      6943.64525      0.01037        
6944.93209      6944.94647      0.01438        
6944.32630      6944.34685      0.02055        
6944.67975      6944.68731      0.00757        
6944.34099      6944.27124      0.06975        
7045.79313      7045.80806      0.01492        
7045.75208      7045.74631      0.00577        
7045.84461      7045.85144      0.00683        
7045.76685      7045.75833      0.00852        
7047.54063      7047.54844      0.00782        
7046.62736      7046.64683      0.01947        
7047.36128      7047.37138      0.01011        
6952.96185      6952.93624      0.02561        
6953.04087      6952.99012      0.05075        
6952.95221      6952.96894      0.01673        
6952.93890      6952.96293      0.02402        
