# Reference      Predicted      Error          
0.00676         0.01028         0.00352        
0.00103         0.01021         0.00918        
0.00473         0.01047         0.00574        
0.00833         0.00983         0.00150        
-0.00047        0.00685         0.00733        
-0.00462        0.00421         0.00883        
0.00659         0.01443         0.00784        
0.00999         0.01320         0.00320        
0.00817         0.00849         0.00032        
0.00372         -0.00088        0.00460        
-0.01330        -0.01254        0.00076        
0.01126         0.01647         0.00521        
0.00977         0.02451         0.01475        
0.00875         0.03498         0.02623        
0.00287         0.03038         0.02751        
-0.00883        0.02607         0.03490        
-0.00313        -0.00033        0.00280        
-0.01776        -0.01111        0.00665        
-0.01384        -0.01404        0.00020        
-0.00570        0.00785         0.01355        
-0.02374        0.02804         0.05178        
0.00975         0.01299         0.00324        
0.01643         0.01211         0.00432        
0.01807         0.00912         0.00894        
0.00637         0.00530         0.00107        
-0.01807        -0.00099        0.01708        
0.00212         0.01089         0.00877        
-0.00069        0.01098         0.01168        
-0.00605        0.00416         0.01021        
-0.01029        -0.01156        0.00127        
-0.01279        -0.02458        0.01179        
0.00373         0.00734         0.00361        
-0.00260        0.00934         0.01194        
-0.00772        0.01113         0.01885        
-0.00620        0.01489         0.02108        
-0.00898        0.01184         0.02082        
-0.00817        -0.00926        0.00109        
0.00816         -0.01950        0.02765        
0.00775         -0.03942        0.04717        
-0.00302        -0.00723        0.00422        
-0.02542        -0.03686        0.01144        
-0.03183        -0.02389        0.00795        
0.00647         -0.02032        0.02679        
-0.03804        -0.02480        0.01324        
-0.00583        -0.00805        0.00221        
0.00245         0.00646         0.00401        
0.00181         -0.01172        0.01353        
-0.00270        0.00222         0.00492        
-0.01823        0.00291         0.02114        
-0.00654        -0.00829        0.00175        
-0.00302        0.04595         0.04897        
-0.00066        -0.00066        0.00001        
-0.00610        0.03833         0.04443        
0.00138         -0.00632        0.00770        
-0.02753        -0.05646        0.02893        
-0.00375        -0.03720        0.03345        
0.00682         -0.05633        0.06315        
0.02026         -0.03572        0.05598        
