# Reference      Predicted      Error          
436.92537       436.91920       0.00617        
437.55604       437.55437       0.00167        
438.15712       438.14969       0.00743        
438.69977       438.69198       0.00779        
439.23848       439.23658       0.00189        
439.74022       439.73773       0.00249        
436.68560       436.68149       0.00412        
436.35758       436.34596       0.01162        
435.97376       435.95814       0.01563        
435.60003       435.58068       0.01936        
435.16772       435.14838       0.01934        
436.55415       436.54244       0.01172        
436.12384       436.11052       0.01332        
435.67776       435.67486       0.00289        
435.20985       435.22201       0.01217        
434.75652       434.79830       0.04178        
436.61349       436.61610       0.00261        
436.43989       436.44561       0.00572        
436.31281       436.32401       0.01120        
436.14396       436.18502       0.04106        
435.80516       435.86551       0.06035        
436.76203       436.75720       0.00483        
436.65386       436.64148       0.01238        
436.55879       436.53949       0.01930        
436.42856       436.40629       0.02227        
436.24588       436.22226       0.02363        
436.76968       436.76895       0.00073        
436.59019       436.58466       0.00553        
436.41661       436.41249       0.00412        
436.26509       436.27306       0.00797        
436.06431       436.08679       0.02248        
436.87398       436.86908       0.00489        
436.86045       436.85498       0.00547        
436.81743       436.81574       0.00169        
436.78803       436.78157       0.00646        
436.70997       436.71041       0.00044        
218.55526       218.56861       0.01335        
218.53440       218.54262       0.00822        
437.08504       437.11709       0.03204        
218.50464       218.51527       0.01063        
437.15449       437.20859       0.05409        
437.18379       437.24330       0.05951        
218.52017       218.53301       0.01283        
437.18973       437.24828       0.05855        
218.52066       218.53321       0.01254        
436.96063       436.95533       0.00530        
874.24517       874.29659       0.05142        
218.51963       218.52703       0.00740        
109.32516       109.33342       0.00826        
218.51415       218.53000       0.01585        
876.04806       876.05251       0.00445        
873.40268       873.37197       0.03072        
875.97024       875.96820       0.00204        
873.86113       873.80503       0.05609        
873.09466       873.16857       0.07391        
875.36111       875.34144       0.01966        
874.89454       874.86567       0.02887        
874.37625       874.33481       0.04144        
875.72922       875.72307       0.00615        
873.43447       873.41205       0.02242        
875.97084       875.97310       0.00226        
873.88352       873.85550       0.02803        
873.13767       873.18358       0.04591        
875.36630       875.37476       0.00846        
874.90378       874.91029       0.00651        
874.39117       874.38578       0.00539        
875.73150       875.74125       0.00975        
890.17289       890.14219       0.03070        
875.78205       875.77078       0.01127        
880.83415       880.93712       0.10297        
908.18880       908.18946       0.00066        
874.54831       874.55653       0.00822        
874.69018       874.64825       0.04193        
876.38329       876.29635       0.08694        
875.12939       875.12133       0.00806        
6925.55132      6925.53397      0.01735        
6925.60465      6925.61486      0.01021        
6925.70734      6925.71025      0.00291        
6925.66053      6925.67011      0.00958        
6925.64008      6925.67325      0.03318        
6925.66143      6925.67201      0.01059        
6925.69779      6925.70295      0.00516        
6925.66390      6925.67103      0.00713        
6925.98130      6925.98410      0.00280        
6925.94640      6925.94620      0.00020        
6925.87533      6925.85540      0.01993        
6926.06254      6926.09914      0.03660        
6926.08139      6926.10948      0.02808        
6925.55316      6925.38532      0.16784        
6926.23144      6926.23177      0.00033        
6925.42046      6925.38665      0.03381        
6925.97995      6925.82840      0.15155        
6925.20247      6925.21593      0.01346        
7026.35723      7026.37255      0.01531        
7026.25067      7026.26765      0.01698        
7026.32623      7026.33416      0.00793        
7026.28031      7026.28535      0.00504        
7027.87068      7027.88772      0.01705        
7027.24196      7027.26701      0.02505        
7027.81397      7027.85774      0.04377        
6935.42986      6935.43090      0.00105        
6935.43028      6935.41093      0.01936        
6935.45689      6935.47902      0.02213        
6935.52256      6935.52359      0.00103        
6935.41167      6935.42295      0.01128        
6935.50214      6935.52677      0.02463        
6935.46977      6935.49347      0.02369        
6935.54334      6935.56879      0.02545        
6935.35989      6935.37429      0.01441        
6935.31669      6935.32104      0.00435        
6935.51173      6935.50322      0.00850        
6935.57541      6935.62727      0.05186        
6935.67756      6935.71084      0.03328        
6934.39798      6934.33346      0.06452        
6935.56097      6935.61114      0.05016        
6934.87198      6934.83613      0.03585        
6935.42033      6935.39518      0.02514        
6934.38704      6934.49900      0.11195        
7036.27012      7036.27099      0.00087        
7036.10773      7036.10536      0.00237        
7036.14918      7036.15102      0.00184        
7036.17833      7036.17627      0.00206        
7037.65572      7037.66321      0.00749        
